word,memory,syn,ant,type
Abandon,A-Band (樂隊) 離開了,Desert,Keep,Core
Abode,住處。與 Abide (居住) 相關,Dwelling,Office,Core
Absence,缺席。注意-sc-拼寫,Lack,Presence,Core
Absurd,荒謬的。Ab-surd (不合理的),Ridiculous,Sensible,Core
Abundance,豐富。注意字尾 -ance,Plenty,Scarcity,Core
Abundant,數量很多。-ant結尾,Plentiful,Scarce,Elite
Accommodate,2隻貓(CC)2隻鼠(MM)同住,Lodge,Reject,Elite
Accompany,陪伴。雙C,Escort,Leave,Core
Accomplish,完成。雙C雙L,Achieve,Fail,Core
Accumulate,累積。雙C,Collect,Scatter,Elite
Accurate,雙C。看準紅心才準確,Precise,Wrong,Core
Accuse,指控。雙C拼寫,Blame,Pardon,Core
Accustom,習慣於。雙C拼寫,Adapt,Unused,Core
Acknowledge,承認。有Know在裡面,Admit,Deny,Elite
Acquainted,相識的。注意 -cq- 拼寫,Familiar,Stranger,Elite
Acquire,獲得。注意 -cq-,Obtain,Lose,Elite
Across,橫過。只有一個 C,Crosswise,Along,Core
Address,地址/演講。雙D雙S,Speech,N/A,Core
Adhere,堅持/黏附。如同膠水,Stick,Detach,Elite
Adjacent,鄰近。注意-dj-拼寫,Near,Remote,Elite
Admission,准許進入。雙S,Entry,Exclusion,Core
Adolescent,青少年。-sc-拼寫,Teen,Adult,Elite
Adopt,領養/採納,Take in,Reject,Core
Advance,前進/進步,Progress,Retreat,Core
Advantage,結尾-age。長輩更有優勢,Benefit,Obstacle,Core
Advantageous,有利。注意中間有-e-,Helpful,Hurtful,Elite
Adversity,逆境,Hardship,Fortune,Elite
Affable,和藹可親的,Friendly,Hostile,Elite
Affectionate,深情的/慈愛的,Loving,Cold,Core
Aggressive,兩個G兩個S都很兇,Hostile,Gentle,Elite
Aid,幫助/援助,Assistance,Hinder,Core
Alert,警覺的,Watchful,Asleep,Core
All right,沒問題。注意是兩個字,Fine,Wrong,Core
Ally,盟友。雙L,Partner,Enemy,Core
Alteration,改變,Change,Fix,Core
Altitude,高度。Alti (高),Height,Depth,Core
Amateur,結尾-eur。業餘愛好者,Novice,Professional,Elite
Ambiguous,模棱兩可,Vague,Clear,Elite
Ambition,抱負/野心,Aspiration,Laziness,Core
Ambitious,有野心的,Eager,Lazy,Core
Amount,數量/總額,Quantity,N/A,Core
Ample,充足的,Plentiful,Meagre,Core
Ancient,注意 c-i-e。古老的文物,Antique,Modern,Core
Annual,雙N。Ann的生日是每年的,Yearly,Occasional,Core
Antagonise,對抗。-ise結尾,Provoke,Soothe,Elite
Antiquity,古老/古代,Ancient,Modern,Elite
Anxiety,焦慮。注意-x-拼寫,Worry,Calm,Elite
Anxious,焦慮的。注意 -x-,Worried,Calm,Core
Apparent,看似明顯但注意字尾-ent,Obvious,Hidden,Core
Appeal,呼籲/吸引力,Request,Repel,Core
Appearance,外表。注意 -ance,Look,Reality,Core
Appreciate,感激/欣賞,Value,Ignore,Core
Apprehensive,憂慮的/恐懼的,Anxious,Confident,Elite
Apprentice,學徒。雙P,Learner,Master,Core
Approve,雙P。兩隻拇指贊成,Support,Deny,Core
Architecture,建築學。注意-ch-音,Design,Destruction,Elite
Arduous,艱鉅的/費力的,Tough,Easy,Elite
Argument,爭論。注意中間沒有 e,Dispute,Agreement,Core
Aristocracy,貴族,Nobility,Peasantry,Elite
Arouse,喚醒/激起,Waken,Lull,Core
Artful,狡猾的/巧妙的,Cunning,Simple,Elite
Article,文章/物品,Item,N/A,Core
Artificial,人造的。注意-ci-,Fake,Natural,Core
Ascend,上升。-sc-拼寫,Climb,Descend,Elite
